benchmark,model,n,acc_independent,acc_after_debate,switch_rate,switch_to_liar_plurality,right_to_wrong,wrong_to_right
boolq,gemma3_1b,120,0.675,0.5916666666666667,0.1,0.008333333333333333,0.09166666666666666,0.008333333333333333
boolq,granite33_2b,120,0.8583333333333333,0.8083333333333333,0.05,0.016666666666666666,0.05,0.0
boolq,llama32_1b,120,0.6916666666666667,0.7,0.15833333333333333,0.025,0.075,0.08333333333333333
boolq,olmo2_1b,120,0.49166666666666664,0.5166666666666667,0.20833333333333334,0.03333333333333333,0.09166666666666666,0.11666666666666667
boolq,qwen25_1p5b,120,0.8083333333333333,0.825,0.13333333333333333,0.05,0.058333333333333334,0.075
boolq,smollm2_1p7b,120,0.5333333333333333,0.49166666666666664,0.09166666666666666,0.016666666666666666,0.06666666666666667,0.025
mmlu,gemma3_1b,120,0.325,0.3,0.08333333333333333,0.0,0.03333333333333333,0.008333333333333333
mmlu,granite33_2b,120,0.5416666666666666,0.55,0.225,0.03333333333333333,0.08333333333333333,0.09166666666666666
mmlu,llama32_1b,120,0.49166666666666664,0.4666666666666667,0.2833333333333333,0.1,0.125,0.1
mmlu,olmo2_1b,120,0.36666666666666664,0.4083333333333333,0.24166666666666667,0.058333333333333334,0.05,0.09166666666666666
mmlu,qwen25_1p5b,120,0.6083333333333333,0.55,0.16666666666666666,0.075,0.09166666666666666,0.03333333333333333
mmlu,smollm2_1p7b,120,0.43333333333333335,0.475,0.18333333333333332,0.025,0.041666666666666664,0.08333333333333333
