benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,coherent,0.1,self,race,0.7949074074074073,0.6175925925925926,0.1773148148148148,0.11527777777777777,0.24445601851851848,1.5558111906568446e-05,48,0.0016958341978159607,win
boolq,coherent,0.1,majority,race,0.7949074074074073,0.5333333333333333,0.261574074074074,0.15648148148148147,0.37361111111111106,1.9392153590016454e-05,48,0.002094352587721777,win
boolq,coherent,0.1,aip_gated,race,0.7949074074074073,0.6226851851851851,0.1722222222222222,0.09858796296296295,0.25649305555555546,3.719338639995726e-06,48,0.000420285266319517,win
boolq,coherent,0.1,ds_onecoin,race,0.7949074074074073,0.7708333333333334,0.024074074074074053,-0.01296296296296297,0.053252314814814745,0.0015947814247399329,48,0.1546937981997735,tie
boolq,coherent,0.3,self,race,0.7976190476190478,0.6202380952380953,0.17738095238095242,0.11666666666666665,0.23392857142857146,4.696452282426633e-06,48,0.0005260026556317828,win
boolq,coherent,0.3,majority,race,0.7976190476190478,0.4125000000000001,0.38511904761904764,0.2833333333333334,0.4892857142857143,1.0589441646606451e-07,48,1.2177857893597418e-05,win
boolq,coherent,0.3,aip_gated,race,0.7976190476190478,0.4398809523809524,0.35773809523809524,0.2726190476190476,0.44644345238095234,1.313386187929068e-08,48,1.602331149273463e-06,win
boolq,coherent,0.3,ds_onecoin,race,0.7976190476190478,0.8958333333333334,-0.09821428571428574,-0.16666666666666666,-0.039880952380952385,0.009588531635540886,48,0.7958481257498936,tie
boolq,coherent,0.5,self,race,0.8266666666666667,0.6008333333333333,0.22583333333333333,0.17083333333333336,0.2758333333333333,4.3511952021563875e-08,48,5.090898386522973e-06,win
boolq,coherent,0.5,majority,race,0.8266666666666667,0.20000000000000004,0.6266666666666667,0.5191458333333333,0.7258333333333334,8.195525618133899e-09,48,1.0080496510304696e-06,win
boolq,coherent,0.5,aip_gated,race,0.8266666666666667,0.0,0.8266666666666667,0.7558333333333334,0.8925000000000001,8.623539615958031e-10,48,1.103813070842628e-07,win
