benchmark,model,self,majority,race,race_full
boolq,gemma3_1b,0.6041666666666666,0.6466049382716049,0.48302469135802467,0.6473765432098766
boolq,granite33_2b,0.8333333333333334,0.7147435897435898,0.6832264957264957,0.7446581196581197
boolq,llama32_1b,0.625,0.6666666666666666,0.6228298611111112,0.6875
boolq,olmo2_1b,0.4166666666666667,0.6652777777777777,0.4935185185185185,0.6731481481481482
boolq,qwen25_1p5b,0.75,0.7215277777777778,0.7083333333333334,0.7590277777777777
boolq,smollm2_1p7b,0.5,0.671875,0.46875,0.6527777777777778
mmlu,gemma3_1b,0.25,0.4479166666666667,0.5286458333333334,0.3810763888888889
mmlu,granite33_2b,0.5,0.46275252525252525,0.5625,0.4753787878787879
mmlu,llama32_1b,0.4375,0.48344017094017094,0.5667735042735043,0.48504273504273504
mmlu,olmo2_1b,0.3333333333333333,0.413510101010101,0.5025252525252525,0.4393939393939394
mmlu,qwen25_1p5b,0.5,0.46600877192982454,0.555921052631579,0.489766081871345
mmlu,smollm2_1p7b,0.4583333333333333,0.452991452991453,0.5384615384615384,0.47115384615384615
