benchmark,model,condition,n,acc_independent,acc_after,switch_rate,right_to_wrong,wrong_to_right,switch_to_liar_plurality
arc,gemma3_1b,debate,120,0.425,0.44166666666666665,0.15833333333333333,0.025,0.041666666666666664,0.008333333333333333
arc,gemma3_1b,informed,120,0.425,0.475,0.35833333333333334,0.09166666666666666,0.14166666666666666,0.041666666666666664
arc,granite33_2b,debate,120,0.7416666666666667,0.7166666666666667,0.09166666666666666,0.05,0.025,0.0
arc,granite33_2b,informed,120,0.7416666666666667,0.75,0.225,0.075,0.08333333333333333,0.041666666666666664
arc,llama32_1b,debate,120,0.5166666666666667,0.5166666666666667,0.20833333333333334,0.06666666666666667,0.06666666666666667,0.058333333333333334
arc,llama32_1b,informed,120,0.5166666666666667,0.5416666666666666,0.35,0.11666666666666667,0.14166666666666666,0.041666666666666664
arc,olmo2_1b,debate,120,0.35833333333333334,0.3333333333333333,0.225,0.075,0.05,0.058333333333333334
arc,olmo2_1b,informed,120,0.35833333333333334,0.6333333333333333,0.525,0.05,0.325,0.075
arc,qwen25_1p5b,debate,120,0.6916666666666667,0.7166666666666667,0.058333333333333334,0.008333333333333333,0.03333333333333333,0.0
arc,qwen25_1p5b,informed,120,0.6916666666666667,0.7583333333333333,0.09166666666666666,0.0,0.06666666666666667,0.008333333333333333
arc,smollm2_1p7b,debate,120,0.5,0.5833333333333334,0.21666666666666667,0.03333333333333333,0.11666666666666667,0.025
arc,smollm2_1p7b,informed,120,0.5,0.7,0.2916666666666667,0.025,0.225,0.016666666666666666
boolq,gemma3_1b,debate,80,0.725,0.6625,0.1125,0.0875,0.025,0.025
boolq,gemma3_1b,informed,80,0.725,0.625,0.2,0.15,0.05,0.025
boolq,granite33_2b,debate,80,0.8,0.8125,0.0375,0.0125,0.025,0.0
boolq,granite33_2b,informed,80,0.8,0.825,0.075,0.025,0.05,0.0125
boolq,llama32_1b,debate,80,0.6375,0.7375,0.2,0.05,0.15,0.025
boolq,llama32_1b,informed,80,0.6375,0.6875,0.35,0.15,0.2,0.025
boolq,olmo2_1b,debate,80,0.625,0.6375,0.2125,0.1,0.1125,0.025
boolq,olmo2_1b,informed,80,0.625,0.65,0.4,0.1875,0.2125,0.1125
boolq,qwen25_1p5b,debate,80,0.85,0.8,0.1,0.075,0.025,0.05
boolq,qwen25_1p5b,informed,80,0.85,0.8375,0.0625,0.0375,0.025,0.025
boolq,smollm2_1p7b,debate,80,0.7,0.6375,0.1125,0.0875,0.025,0.0125
boolq,smollm2_1p7b,informed,80,0.7,0.8125,0.2375,0.0625,0.175,0.05
