benchmark,model,honest,debate,informed
arc,gemma3_1b,0.425,0.44166666666666665,0.475
arc,granite33_2b,0.7416666666666667,0.7166666666666667,0.75
arc,llama32_1b,0.5166666666666667,0.5166666666666667,0.5416666666666666
arc,olmo2_1b,0.35833333333333334,0.3333333333333333,0.6333333333333333
arc,qwen25_1p5b,0.6916666666666667,0.7166666666666667,0.7583333333333333
arc,smollm2_1p7b,0.5,0.5833333333333334,0.7
boolq,gemma3_1b,0.725,0.6625,0.625
boolq,granite33_2b,0.8,0.8125,0.825
boolq,llama32_1b,0.6375,0.7375,0.6875
boolq,olmo2_1b,0.625,0.6375,0.65
boolq,qwen25_1p5b,0.85,0.8,0.8375
boolq,smollm2_1p7b,0.7,0.6375,0.8125
