benchmark,method,live2,live2_debate,live2_informed
arc,self,51.0,53.41666666666666,56.75
boolq,self,73.375,72.125,73.625
arc,majority,41.875,43.541666666666664,45.0
boolq,majority,78.125,77.5,76.25
arc,race,64.66666666666666,70.0,66.875
boolq,race,82.625,76.4375,85.125
arc,race_onecoin,64.66666666666666,70.0,66.875
boolq,race_onecoin,68.5625,58.75,83.18749999999999
arc,aip_gated,49.45833333333333,51.625,57.49999999999999
boolq,aip_gated,75.875,72.24999999999999,75.5625
arc,oracle_channel,68.125,72.08333333333333,67.08333333333333
boolq,oracle_channel,83.75,86.25,79.6875
