benchmark,model,self,majority,race,race_onecoin
arc,gemma3_1b,0.375,0.49270833333333336,0.6222222222222222,0.6222222222222222
arc,granite33_2b,0.75,0.5333333333333333,0.6444444444444445,0.6444444444444445
arc,llama32_1b,0.4375,0.4861111111111111,0.6347222222222222,0.6347222222222222
arc,olmo2_1b,0.3541666666666667,0.46319444444444446,0.6173611111111111,0.6173611111111111
arc,qwen25_1p5b,0.6875,0.5064814814814815,0.65,0.65
arc,smollm2_1p7b,0.5,0.49722222222222223,0.6194444444444445,0.6194444444444445
boolq,gemma3_1b,0.75,0.7766203703703703,0.7245370370370371,0.5914351851851852
boolq,granite33_2b,0.84375,0.7868589743589743,0.8461538461538461,0.7171474358974359
boolq,llama32_1b,0.65625,0.771484375,0.8098958333333334,0.6712239583333334
boolq,olmo2_1b,0.65625,0.7847222222222222,0.7833333333333333,0.5951388888888889
boolq,qwen25_1p5b,0.875,0.8083333333333333,0.8697916666666666,0.7510416666666667
boolq,smollm2_1p7b,0.71875,0.7864583333333334,0.8055555555555556,0.5998263888888888
