[10/972] 5s
[20/972] 9s
[30/972] 13s
[40/972] 17s
[50/972] 20s
[60/972] 23s
[70/972] 26s
[80/972] 29s
[90/972] 31s
[100/972] 33s
[110/972] 35s
[120/972] 37s
[130/972] 40s
[140/972] 45s
[150/972] 48s
[160/972] 53s
[170/972] 56s
[180/972] 60s
[190/972] 63s
[200/972] 66s
[210/972] 69s
[220/972] 71s
[230/972] 74s
[240/972] 76s
[250/972] 78s
[260/972] 82s
[270/972] 86s
[280/972] 89s
[290/972] 93s
[300/972] 97s
[310/972] 99s
[320/972] 102s
[330/972] 105s
[340/972] 107s
[350/972] 109s
[360/972] 111s
[370/972] 113s
[380/972] 116s
[390/972] 119s
[400/972] 122s
[410/972] 125s
[420/972] 128s
[430/972] 130s
[440/972] 133s
[450/972] 135s
[460/972] 138s
[470/972] 140s
[480/972] 141s
[490/972] 143s
[500/972] 144s
[510/972] 150s
[520/972] 157s
[530/972] 164s
[540/972] 170s
[550/972] 175s
[560/972] 180s
[570/972] 185s
[580/972] 191s
[590/972] 195s
[600/972] 198s
[610/972] 202s
[620/972] 205s
[630/972] 208s
[640/972] 213s
[650/972] 216s
[660/972] 220s
[670/972] 223s
[680/972] 225s
[690/972] 228s
[700/972] 230s
[710/972] 233s
[720/972] 234s
[730/972] 236s
[740/972] 238s
[750/972] 239s
[760/972] 242s
[770/972] 246s
[780/972] 248s
[790/972] 250s
[800/972] 254s
[810/972] 257s
[820/972] 260s
[830/972] 262s
[840/972] 266s
[850/972] 269s
[860/972] 271s
[870/972] 274s
[880/972] 277s
[890/972] 279s
[900/972] 280s
[910/972] 289s
[920/972] 295s
[930/972] 299s
[940/972] 303s
[950/972] 306s
[960/972] 309s
[970/972] 311s
[972/972] 312s
{
  "study": "ext",
  "worlds": 972,
  "methods": [
    "self",
    "majority",
    "aip_gated",
    "race",
    "race_d",
    "oracle_channel",
    "oracle_channel_honest"
  ],
  "rows": 1020600,
  "elapsed_seconds": 312.32,
  "peak_rss_mib_parent": 527.4,
  "peak_rss_mib_children": 242.1,
  "processes": 3,
  "python": "3.11.15",
  "machine": "x86_64",
  "cpu_count": 4,
  "gpu_inference": false,
  "inputs_sha256": "eff90400e30aa91e2157b05b8b3c08bcb9884a4a4171780e458df7d19a208ba4",
  "code_sha256": "111eaa333e1fcc86ee6c067106b7d1efbad17ee0ba48637ecceb3d3b51f70349"
}
