[1/120] 6s
[2/120] 7s
[3/120] 12s
[4/120] 13s
[5/120] 19s
[6/120] 20s
[7/120] 27s
[8/120] 28s
[9/120] 34s
[10/120] 35s
[11/120] 42s
[12/120] 43s
[13/120] 50s
[14/120] 51s
[15/120] 62s
[16/120] 62s
[17/120] 73s
[18/120] 74s
[19/120] 84s
[20/120] 85s
[21/120] 91s
[22/120] 91s
[23/120] 95s
[24/120] 96s
[25/120] 100s
[26/120] 100s
[27/120] 104s
[28/120] 104s
[29/120] 108s
[30/120] 108s
[31/120] 115s
[32/120] 115s
[33/120] 121s
[34/120] 121s
[35/120] 128s
[36/120] 128s
[37/120] 134s
[38/120] 134s
[39/120] 140s
[40/120] 141s
[41/120] 146s
[42/120] 147s
[43/120] 152s
[44/120] 153s
[45/120] 159s
[46/120] 160s
[47/120] 165s
[48/120] 166s
[49/120] 171s
[50/120] 172s
[51/120] 175s
[52/120] 176s
[53/120] 179s
[54/120] 180s
[55/120] 183s
[56/120] 183s
[57/120] 187s
[58/120] 187s
[59/120] 191s
[60/120] 191s
[61/120] 196s
[62/120] 197s
[63/120] 201s
[64/120] 202s
[65/120] 206s
[66/120] 207s
[67/120] 211s
[68/120] 212s
[69/120] 217s
[70/120] 218s
[71/120] 222s
[72/120] 223s
[73/120] 228s
[74/120] 228s
[75/120] 233s
[76/120] 233s
[77/120] 239s
[78/120] 239s
[79/120] 244s
[80/120] 245s
[81/120] 248s
[82/120] 248s
[83/120] 251s
[84/120] 251s
[85/120] 255s
[86/120] 255s
[87/120] 258s
[88/120] 259s
[89/120] 262s
[90/120] 262s
[91/120] 268s
[92/120] 270s
[93/120] 274s
[94/120] 277s
[95/120] 280s
[96/120] 283s
[97/120] 287s
[98/120] 290s
[99/120] 293s
[100/120] 297s
[101/120] 299s
[102/120] 304s
[103/120] 305s
[104/120] 311s
[105/120] 311s
[106/120] 317s
[107/120] 318s
[108/120] 324s
[109/120] 324s
[110/120] 329s
[111/120] 331s
[112/120] 333s
[113/120] 335s
[114/120] 337s
[115/120] 338s
[116/120] 341s
[117/120] 343s
[118/120] 346s
[119/120] 347s
[120/120] 352s
exit 0
