attack,param,f,oracle_channel_honest,oracle_channel,race,race_d,aip_gated,majority,self
attractor,1.0,0.3,93.5,2.0,-1.0,-1.0,-1.2,-12.5,-8.5
attractor,1.0,0.5,92.5,2.4,-0.2,0.0,-16.5,-50.5,-8.5
attractor,1.0,0.7,89.6,4.1,2.0,2.4,-14.9,-89.6,-5.4
camouflage,0.7,0.3,93.5,-2.3,-4.1,-11.6,-7.8,-8.8,-8.5
camouflage,0.7,0.5,92.5,-5.0,-6.5,-11.1,-9.4,-9.3,-8.5
camouflage,0.7,0.7,89.6,-3.5,-12.7,-7.9,-22.0,-15.3,-5.4
camouflage,0.9,0.3,93.5,-1.0,-2.8,-6.6,-8.8,-12.5,-8.5
camouflage,0.9,0.5,92.5,-1.9,-5.4,-7.8,-26.7,-28.2,-8.5
camouflage,0.9,0.7,89.6,-3.5,-12.7,-7.9,-22.0,-15.3,-5.4
echo,1.0,0.3,93.5,-2.2,-2.8,-7.8,-3.1,-3.1,-8.5
echo,1.0,0.5,92.5,-2.8,-3.2,-8.1,-3.8,-3.5,-8.5
echo,1.0,0.7,89.6,-1.7,-2.1,-7.8,-2.2,-2.3,-5.4
gate_aware,0.0,0.3,93.5,1.8,1.1,1.1,-5.3,-7.2,-8.5
gate_aware,0.0,0.5,92.5,2.6,2.2,2.4,-30.3,-27.6,-8.5
gate_aware,0.0,0.7,89.6,5.9,5.6,5.8,-60.5,-82.2,-5.4
gate_aware,0.25,0.3,93.5,1.9,1.1,1.1,-5.7,-7.7,-8.5
gate_aware,0.25,0.5,92.5,2.8,2.1,2.2,-31.4,-27.9,-8.5
gate_aware,0.25,0.7,89.6,5.2,4.8,5.1,-60.5,-84.2,-5.4
gate_aware,0.5,0.3,93.5,1.8,1.2,1.2,-5.4,-7.7,-8.5
gate_aware,0.5,0.5,92.5,2.7,2.2,2.3,-26.2,-31.4,-8.5
gate_aware,0.5,0.7,89.6,4.4,4.1,4.3,-38.8,-87.8,-5.4
gate_aware,0.75,0.3,93.5,1.7,1.1,1.1,-6.4,-8.4,-8.5
gate_aware,0.75,0.5,92.5,2.3,1.7,1.9,-28.6,-38.5,-8.5
gate_aware,0.75,0.7,89.6,3.9,3.5,3.8,-41.8,-89.4,-5.4
gate_aware,1.0,0.3,93.5,1.1,-1.2,-1.2,-1.8,-9.1,-8.5
gate_aware,1.0,0.5,92.5,1.2,-0.8,-0.7,-17.3,-50.5,-8.5
gate_aware,1.0,0.7,89.6,2.3,1.4,1.6,-15.7,-89.6,-5.4
independent,1.0,0.3,93.5,1.9,1.1,1.1,-5.4,-7.2,-8.5
independent,1.0,0.5,92.5,2.8,2.0,2.2,-30.1,-26.8,-8.5
independent,1.0,0.7,89.6,5.7,5.3,5.6,-60.5,-82.6,-5.4
llm:always_wrong,1.0,0.3,93.5,-0.1,-1.2,-1.2,-2.5,-2.1,-8.5
llm:always_wrong,1.0,0.5,92.5,-0.2,-1.3,-1.4,-15.7,-11.5,-8.5
llm:always_wrong,1.0,0.7,89.6,-0.7,-2.1,-2.1,-29.5,-47.7,-5.4
llm:rushing,1.0,0.3,93.5,-0.2,-0.9,-0.8,-5.0,-3.8,-8.5
llm:rushing,1.0,0.5,92.5,-1.2,-1.8,-1.8,-14.6,-17.6,-8.5
llm:rushing,1.0,0.7,89.6,-0.4,-1.4,-1.4,-25.3,-57.3,-5.4
llm:semantic_hallucination,1.0,0.3,93.5,-0.1,-0.7,-0.8,-2.5,-2.4,-8.5
llm:semantic_hallucination,1.0,0.5,92.5,-0.0,-0.9,-0.9,-11.3,-20.6,-8.5
llm:semantic_hallucination,1.0,0.7,89.6,-0.0,-1.7,-1.6,-19.0,-62.8,-5.4
llm:semantic_negation,1.0,0.3,93.5,-0.2,-0.9,-0.9,-2.3,-2.4,-8.5
llm:semantic_negation,1.0,0.5,92.5,-0.2,-0.6,-0.6,-9.6,-23.2,-8.5
llm:semantic_negation,1.0,0.7,89.6,0.1,-1.4,-1.4,-22.2,-59.4,-5.4
partial,0.5,0.3,93.5,0.0,-1.5,-1.5,-2.5,-2.0,-8.5
partial,0.5,0.5,92.5,-0.3,-1.5,-1.5,-6.3,-4.1,-8.5
partial,0.5,0.7,89.6,0.7,-2.3,-2.3,-16.4,-10.3,-5.4
partial,0.8,0.3,93.5,0.2,-2.2,-2.1,-3.3,-6.0,-8.5
partial,0.8,0.5,92.5,0.4,-2.0,-2.0,-6.4,-24.8,-8.5
partial,0.8,0.7,89.6,1.2,-0.4,-0.4,-18.6,-63.9,-5.4
sleeper,1.0,0.3,93.5,-3.2,-4.2,-18.4,-7.4,-9.1,-8.5
sleeper,1.0,0.5,92.5,-27.8,-59.2,-34.2,-60.4,-50.5,-8.5
sleeper,1.0,0.7,89.6,-89.6,-89.6,-71.5,-83.0,-89.6,-5.4
uninformative,1.0,0.3,93.5,-0.2,-2.8,-2.8,-2.9,-2.9,-8.5
uninformative,1.0,0.5,92.5,-0.7,-2.2,-2.2,-5.6,-5.9,-8.5
uninformative,1.0,0.7,89.6,-1.6,-4.6,-4.6,-12.8,-14.4,-5.4
