benchmark,f,Receiver alone,Majority vote,Confidence-weighted,SAC filter-refine,Dawid–Skene full,Dawid–Skene (label-free),AIP trust-only,AIP naive,AIP gated,AIP soft gate (M1),RACE w/o clone tempering,RACE raw-agreement clones,RACE multi-start,RACE full-confusion,RACE (ours),RACE + self cap,Honest-only oracle,Known-channel oracle
arc,0.0,93.05,94.925,95.7,96.175,95.8,96.22500000000001,95.625,12.625,95.625,95.60000000000001,96.175,95.64999999999999,96.2,95.775,96.2,95.775,95.25,97.075
arc,0.1,92.94444444444444,94.44444444444444,94.86111111111111,96.08333333333331,95.63888888888889,96.19444444444444,94.36111111111111,11.88888888888889,94.36111111111111,95.11111111111111,96.19444444444444,96.05555555555556,96.36111111111111,95.80555555555556,96.36111111111111,95.88888888888889,95.05555555555556,96.66666666666666
arc,0.2,92.96875,92.53125000000001,93.75,96.0625,95.96875,96.50000000000001,90.78125,14.96875,95.74999999999999,95.84375,96.46874999999999,96.125,96.40625,96.0,96.40625,96.0,95.15625,96.78125
arc,0.3,93.0,87.60714285714286,90.21428571428571,95.60714285714285,95.96428571428571,96.57142857142857,81.28571428571428,18.0,95.82142857142857,95.82142857142857,96.57142857142857,96.14285714285714,96.39285714285715,95.78571428571429,96.39285714285715,95.89285714285714,95.32142857142857,96.75
arc,0.4,92.20833333333334,73.70833333333333,80.66666666666666,90.70833333333333,94.04166666666667,95.625,62.916666666666664,18.708333333333332,95.0,95.0,95.625,95.33333333333334,95.625,95.04166666666667,95.625,94.95833333333333,94.25000000000001,95.95833333333333
arc,0.5,91.89999999999999,55.35,68.05000000000001,69.85,54.2,84.20000000000002,42.6,24.3,94.60000000000001,94.60000000000001,95.60000000000001,95.39999999999999,95.64999999999999,94.19999999999999,95.64999999999999,94.5,93.30000000000001,95.7
arc,0.6,92.3125,33.875,48.8125,20.812499999999996,0.125,0.0,21.9375,35.0625,94.87500000000001,94.87500000000001,95.9375,95.9375,95.875,94.5625,95.875,94.3125,93.8125,95.81250000000001
arc,0.7,90.91666666666667,15.083333333333332,25.25,0.3333333333333333,0.08333333333333333,0.0,7.5,37.75,93.75,93.66666666666667,95.08333333333333,94.58333333333334,94.66666666666667,92.83333333333333,94.66666666666667,92.75,91.66666666666666,94.75
arc,0.8,92.375,4.0,8.5,0.5,0.125,0.0,1.5000000000000002,81.0,94.0,94.0,94.75,94.25000000000001,94.375,92.62499999999999,94.375,93.125,92.375,94.375
arc,0.9,90.25000000000001,0.7500000000000001,0.25,0.25,0.0,0.0,0.25,90.99999999999999,0.25,0.25,90.99999999999999,90.25000000000001,90.25000000000001,90.25000000000001,90.25000000000001,90.25000000000001,90.25000000000001,90.5
boolq,0.0,89.625,91.775,91.35,91.45,92.27499999999999,92.15,91.7,91.7,91.7,91.67500000000001,92.05,91.975,92.125,92.125,92.125,92.125,91.85000000000001,91.975
boolq,0.1,89.80555555555556,90.33333333333333,90.05555555555557,91.66666666666666,93.24999999999999,92.97222222222223,90.08333333333333,90.08333333333333,90.08333333333333,91.69444444444444,93.08333333333334,93.08333333333334,93.02777777777777,93.02777777777777,93.02777777777777,93.02777777777777,92.05555555555556,93.77777777777779
boolq,0.2,89.34374999999999,86.84375,86.59375,90.6875,93.46875000000001,93.59375,85.3125,85.3125,85.3125,91.5,93.5625,93.625,93.37500000000001,93.37500000000001,93.37500000000001,93.37500000000001,91.59375,94.59375
boolq,0.3,89.53571428571429,80.96428571428571,81.4642857142857,90.42857142857143,94.71428571428572,94.82142857142858,77.03571428571429,77.03571428571429,77.03571428571429,91.25,94.64285714285714,94.25000000000001,93.96428571428572,93.96428571428572,93.96428571428572,93.96428571428572,91.71428571428571,95.17857142857142
boolq,0.4,88.875,68.5,71.66666666666667,84.625,96.29166666666666,96.41666666666667,60.75000000000001,60.75000000000001,60.75000000000001,90.66666666666666,96.125,94.29166666666667,93.875,93.875,93.875,93.875,90.66666666666666,95.375
boolq,0.5,88.2,47.800000000000004,56.10000000000001,66.85000000000001,75.2,75.35000000000001,36.4,36.4,36.4,89.55,98.00000000000001,94.5,93.95,93.95,93.95,93.95,89.75,95.74999999999999
boolq,0.6,89.25,27.937500000000004,40.625,15.375,0.8125,0.6875000000000001,16.625,16.625,16.625,90.12499999999999,99.0625,94.6875,94.18749999999999,94.18749999999999,94.18749999999999,94.18749999999999,89.9375,96.1875
boolq,0.7,88.83333333333333,12.583333333333332,19.666666666666664,0.3333333333333333,0.25,0.25,5.583333333333333,5.583333333333333,5.583333333333333,89.16666666666666,99.75,95.25,94.41666666666666,94.41666666666666,94.41666666666666,94.41666666666666,89.25,97.24999999999999
boolq,0.8,87.5,2.6250000000000004,5.500000000000001,0.5,0.0,0.0,0.625,0.625,0.625,87.625,100.0,95.25,95.125,95.125,95.125,95.125,87.5,98.625
boolq,0.9,87.5,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,87.5,87.5,87.5,87.5,87.5,87.5,99.49999999999999
gsm8k,0.0,93.41,97.2,97.13,97.0,,97.25,97.17,81.63,97.17,97.17,97.26,96.96,97.27,,97.27,97.19,97.1,97.41
gsm8k,0.1,93.33333333333333,96.34444444444445,96.52222222222223,97.04444444444444,,97.34444444444445,95.88888888888889,46.77777777777778,95.88888888888889,97.35555555555555,97.36666666666666,97.34444444444445,97.45555555555555,,97.45555555555555,97.44444444444444,96.93333333333334,97.62222222222222
gsm8k,0.2,93.475,94.25,95.0875,96.775,,97.5625,92.225,39.8375,97.5625,97.4625,97.55,97.425,97.5,,97.5,97.475,96.775,97.65
gsm8k,0.3,93.08571428571429,89.28571428571428,91.74285714285715,96.31428571428572,,97.44285714285714,82.84285714285714,47.614285714285714,97.6,97.4,97.45714285714286,97.44285714285714,97.44285714285714,,97.44285714285714,97.4,96.22857142857143,97.71428571428571
gsm8k,0.4,93.75,81.73333333333333,85.33333333333333,93.68333333333334,,97.56666666666666,67.01666666666667,63.76666666666666,97.48333333333333,97.38333333333334,97.55,97.33333333333333,97.41666666666667,,97.41666666666667,97.25,95.78333333333333,97.51666666666667
gsm8k,0.5,93.38,64.4,72.92,87.62,,97.1,43.58,80.76,96.96,96.88,97.08,96.9,96.92,,96.92,96.82,94.94,97.12
gsm8k,0.6,92.55,42.4,55.25,39.55,,1.475,22.0,90.625,96.35,96.25,96.425,96.375,96.4,,96.4,96.375,93.6,96.55
gsm8k,0.7,92.96666666666667,22.266666666666666,32.9,0.8333333333333334,,0.8333333333333334,8.066666666666666,94.73333333333333,95.86666666666666,95.86666666666666,95.83333333333333,95.86666666666666,95.86666666666666,,95.86666666666666,95.83333333333333,93.36666666666666,95.86666666666666
gsm8k,0.8,93.55,8.05,10.85,0.6000000000000001,,0.30000000000000004,1.9000000000000004,95.7,76.95,76.95,95.7,95.7,95.7,,95.7,95.7,93.55,95.7
gsm8k,0.9,95.6,1.7000000000000002,0.2,0.6000000000000001,,0.2,0.2,95.6,0.2,0.2,95.6,95.6,95.6,,95.6,95.6,95.6,95.6
