benchmark,f,Receiver alone,Majority vote,Confidence-weighted,SAC filter-refine,Dawid–Skene full,Dawid–Skene (label-free),AIP trust-only,AIP naive,AIP gated,AIP soft gate (M1),RACE w/o clone tempering,RACE raw-agreement clones,RACE multi-start,RACE full-confusion,RACE (ours),RACE + self cap,Honest-only oracle,Known-channel oracle
arc,0.0,93.05,96.75,96.775,96.75,96.75,97.5,97.27499999999999,0.15000000000000002,97.37500000000001,97.32499999999999,97.5,94.75,97.5,97.5,97.5,97.5,96.44999999999999,98.75
arc,0.1,92.94444444444444,96.25,97.0,97.1111111111111,97.0,97.0,96.27777777777779,0.3611111111111111,96.27777777777779,96.36111111111111,97.0,95.55555555555554,97.5,97.33333333333333,97.5,97.5,96.38888888888889,98.25
arc,0.2,92.96875,96.0,97.1875,97.31249999999999,97.24999999999999,98.00000000000001,96.6875,0.625,97.71875,97.71875,98.00000000000001,95.74999999999999,97.5,97.0625,97.5,97.4375,96.125,98.5
arc,0.3,93.0,94.5,97.17857142857143,97.35714285714285,97.24999999999999,98.00000000000001,94.07142857142856,1.0357142857142858,97.57142857142857,97.57142857142857,98.00000000000001,95.74999999999999,97.5,97.07142857142857,97.5,97.32142857142858,96.78571428571429,98.5
arc,0.4,92.20833333333334,87.5,93.24999999999999,93.24999999999999,96.50000000000001,97.24999999999999,85.375,0.9583333333333335,97.04166666666667,97.04166666666667,97.24999999999999,95.25,97.24999999999999,96.875,97.24999999999999,96.91666666666666,95.125,97.75
arc,0.5,91.89999999999999,41.0,84.3,44.800000000000004,0.0,0.0,0.0,1.8499999999999999,96.05,95.89999999999999,96.0,95.0,96.50000000000001,95.74999999999999,96.50000000000001,96.44999999999999,94.35,96.75
arc,0.6,92.3125,0.0,45.06250000000001,0.0,0.0,0.0,0.0,2.7500000000000004,96.5625,96.875,97.0,95.0,96.75,96.75,96.75,96.25,95.0,96.75
arc,0.7,90.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.166666666666666,94.91666666666667,94.83333333333333,95.08333333333333,95.0,95.08333333333333,94.41666666666666,95.08333333333333,94.83333333333333,93.24999999999999,96.0
arc,0.8,92.375,0.0,0.0,0.0,0.0,0.0,0.0,85.75000000000001,94.25000000000001,95.5,96.25,96.0,96.0,94.375,96.0,94.0,92.375,96.0
arc,0.9,90.25000000000001,0.0,0.0,0.0,0.0,0.0,0.0,90.99999999999999,0.0,0.0,90.99999999999999,90.5,90.5,90.25000000000001,90.5,90.5,90.25000000000001,90.99999999999999
boolq,0.0,89.625,92.25,92.825,92.75,93.0,92.75,92.75,92.75,92.75,92.75,92.75,92.5,92.5,92.5,92.5,92.5,92.25,92.5
boolq,0.1,89.80555555555556,91.25,92.1111111111111,92.8888888888889,93.5,93.24999999999999,92.25,92.25,92.25,92.75,93.5,93.75,94.08333333333333,94.08333333333333,94.08333333333333,94.08333333333333,92.75,94.0
boolq,0.2,89.34374999999999,89.25,90.3125,92.03125,94.0,94.25000000000001,90.03125,90.03125,90.03125,92.46874999999999,94.0,93.24999999999999,93.6875,93.6875,93.6875,93.6875,92.0,94.25000000000001
boolq,0.3,89.53571428571429,86.99999999999999,88.64285714285714,92.14285714285714,95.5,95.74999999999999,86.85714285714286,86.85714285714286,86.85714285714286,92.25,95.53571428571429,93.28571428571429,93.5,93.5,93.5,93.5,92.25,94.5
boolq,0.4,88.875,76.75,83.41666666666667,83.41666666666667,98.25,99.25,73.5,73.5,73.5,91.25,97.54166666666666,93.24999999999999,93.5,93.5,93.5,93.5,91.25,94.25000000000001
boolq,0.5,88.2,33.25,68.10000000000001,22.45,0.0,0.0,0.0,0.0,0.0,90.75,100.0,93.80000000000001,93.5,93.5,93.5,93.5,90.75,94.5
boolq,0.6,89.25,0.0,37.8125,0.0,0.0,0.0,0.0,0.0,0.0,91.12500000000001,100.0,93.75,93.75,93.75,93.75,93.75,91.12500000000001,95.74999999999999
boolq,0.7,88.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.75,100.0,94.75,93.5,93.5,93.5,93.5,90.75,95.5
boolq,0.8,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,94.5,94.0,94.0,94.0,94.0,87.5,98.25
boolq,0.9,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0
gsm8k,0.0,93.41,97.6,97.74,97.7,,97.6,97.47,69.93,97.47,97.47,97.62,95.07,98.0,,98.0,98.0,97.55,98.0
gsm8k,0.1,93.33333333333333,97.3,97.85555555555555,97.82222222222222,,97.8,97.26666666666667,1.0777777777777777,97.27777777777777,97.66666666666667,97.8,97.2,98.0,,98.0,97.9888888888889,97.66666666666667,98.0
gsm8k,0.2,93.475,96.8,97.6125,97.7375,,98.0,96.825,3.7000000000000006,98.0,97.8875,98.0,97.4,98.0,,98.0,97.9375,97.5125,98.0
gsm8k,0.3,93.08571428571429,93.4,97.21428571428571,97.6,,97.7,94.38571428571429,11.442857142857143,98.1,97.8,97.7,97.28571428571429,98.0,,98.0,97.92857142857143,97.35714285714286,98.0
gsm8k,0.4,93.75,86.1,95.3,95.3,,98.0,84.88333333333334,50.916666666666664,98.0,97.96666666666667,98.0,97.31666666666666,98.0,,98.0,97.9,97.33333333333333,98.0
gsm8k,0.5,93.38,83.1,88.48,88.48,,0.0,0.0,97.42,97.9,97.86,97.9,97.4,97.6,,97.6,97.56,97.1,97.8
gsm8k,0.6,92.55,0.0,66.65,5.0,,0.0,0.0,97.35,97.65,97.65,97.7,97.5,97.6,,97.6,97.525,94.65,97.7
gsm8k,0.7,92.96666666666667,0.0,0.0,0.0,,0.0,0.0,97.56666666666666,97.63333333333334,97.63333333333334,97.7,97.5,97.7,,97.7,97.63333333333334,93.26666666666667,97.7
gsm8k,0.8,93.55,0.0,0.0,0.0,,0.0,0.0,97.4,78.10000000000001,78.10000000000001,97.4,97.4,97.4,,97.4,97.4,93.55,97.4
gsm8k,0.9,95.6,0.0,0.0,0.0,,0.0,0.0,95.6,0.0,0.0,95.6,95.6,95.6,,95.6,95.6,95.6,95.6
math500,0.0,71.475,88.5,90.525,91.47500000000001,,91.75000000000001,88.2,34.8,87.55000000000001,87.55000000000001,86.15,92.5,92.5,,92.5,90.85000000000001,88.14999999999999,92.5
math500,0.1,70.08333333333333,85.50000000000001,85.66666666666667,88.27777777777777,,86.0,82.91666666666666,5.055555555555555,86.55555555555556,86.55555555555556,71.13888888888889,76.13888888888889,76.13888888888889,,76.13888888888889,74.80555555555554,86.6388888888889,92.5
math500,0.2,71.50000000000001,79.5,83.65625,86.6875,,85.50000000000001,74.9375,11.5,84.84375,84.84375,75.5625,78.375,78.375,,78.375,77.21875,85.96875,92.0
math500,0.3,72.46428571428571,66.25,78.53571428571429,86.0,,86.99999999999999,56.57142857142857,32.03571428571429,81.21428571428572,81.21428571428572,80.46428571428571,79.28571428571428,79.28571428571428,,79.28571428571428,77.85714285714286,85.60714285714285,92.5
math500,0.4,71.04166666666667,51.0,65.91666666666667,59.12499999999999,,36.50000000000001,41.666666666666664,72.83333333333333,78.58333333333334,78.58333333333334,83.08333333333333,77.45833333333333,77.45833333333333,,77.45833333333333,75.95833333333333,83.83333333333333,93.0
math500,0.5,69.85,42.5,48.75,31.900000000000002,,0.0,0.0,76.35,70.45000000000002,70.45000000000002,85.9,76.25,76.25,,76.25,74.0,78.64999999999999,92.5
math500,0.6,69.3125,0.0,29.9375,3.125,,0.0,0.0,80.4375,67.625,67.625,88.62500000000001,73.1875,73.1875,,73.1875,70.0625,72.125,92.25
math500,0.7,68.0,0.0,0.0,0.0,,0.0,0.0,77.5,65.16666666666666,65.16666666666666,82.83333333333334,72.0,72.0,,72.0,70.41666666666666,76.08333333333334,83.5
math500,0.8,67.12499999999999,0.0,0.0,0.0,,0.0,0.0,83.24999999999999,60.0,60.0,83.24999999999999,83.24999999999999,83.24999999999999,,83.24999999999999,83.24999999999999,67.12499999999999,83.24999999999999
math500,0.9,72.25,0.0,0.0,0.0,,0.0,0.0,72.25,0.0,0.0,63.5,72.25,72.25,,72.25,72.25,72.25,72.25
medqa,0.0,74.375,85.0,87.87499999999999,88.80000000000001,85.50000000000001,85.75,85.625,2.7250000000000005,85.57499999999999,85.57499999999999,85.75,88.75,88.75,86.625,88.75,87.72500000000001,85.25,90.0
medqa,0.1,75.44444444444444,84.25,87.47222222222221,87.80555555555554,86.75,86.99999999999999,83.91666666666667,2.0277777777777777,83.91666666666667,84.19444444444444,86.97222222222223,90.63888888888889,90.63888888888889,88.52777777777779,90.63888888888889,89.19444444444444,85.41666666666666,91.25
medqa,0.2,75.53125,81.0,85.3125,86.46875,85.0,86.5,80.06249999999999,3.5625000000000004,87.12500000000001,87.1875,86.5,89.46875000000001,89.46875000000001,87.34375,89.46875000000001,88.125,84.96875,90.75
medqa,0.3,75.60714285714285,77.25,82.92857142857143,85.71428571428571,85.50000000000001,86.75,69.67857142857142,4.642857142857143,88.53571428571428,88.5,86.75,88.46428571428572,88.46428571428572,85.85714285714286,88.46428571428572,87.28571428571428,85.07142857142857,89.75
medqa,0.4,75.33333333333333,61.74999999999999,77.20833333333333,77.20833333333333,74.75,86.25,31.58333333333333,5.083333333333333,87.33333333333334,87.58333333333333,87.75,87.70833333333334,87.70833333333334,85.0,87.70833333333334,86.37499999999999,83.04166666666667,89.0
medqa,0.5,76.35,21.000000000000004,56.8,11.600000000000001,0.0,0.0,0.0,5.050000000000001,88.05,88.05,89.25,88.5,88.5,86.35,88.5,87.75,84.00000000000001,90.0
medqa,0.6,77.375,0.0,12.75,0.0,0.0,0.0,0.0,6.875000000000001,87.1875,87.06250000000001,87.5,86.25,86.25,85.56250000000001,86.25,86.31249999999999,83.125,88.5
