schedule,f,aip_gated_cumulative,aip_gated_fixed,aip_gated_window64,majority,race_capself_cumulative,race_capself_decay0.97,race_capself_fixed,race_capself_window64,race_cumulative,race_decay0.97,race_fixed,race_window64,self
coherent_to_independent,0.3,88.6,88.95,85.875,80.0,89.45,90.175,88.35,90.475,89.75,90.75,88.65,90.95,80.2
coherent_to_independent,0.5,66.425,66.85,59.650000000000006,51.87500000000001,90.125,90.625,88.05,91.075,90.45,90.975,88.875,91.325,80.025
coherent_to_independent,0.7,65.79166666666667,65.70833333333333,45.958333333333336,4.5,88.75,89.04166666666667,82.75,90.16666666666667,89.125,89.25,83.0,90.33333333333333,79.16666666666667
independent_to_coherent,0.3,82.85,83.325,84.4,80.375,89.225,90.6,89.15,90.075,89.825,91.275,89.55,90.85,80.2
independent_to_coherent,0.5,38.7,25.575,47.7,38.0,90.975,90.95,88.975,90.525,91.9,92.025,89.525,91.625,80.025
independent_to_coherent,0.7,17.125,17.375,30.291666666666668,1.0,87.20833333333333,87.66666666666667,84.54166666666667,87.45833333333333,88.04166666666667,88.5,85.25,88.25,79.16666666666667
sleeper,0.3,78.7,80.725,83.075,79.625,81.975,85.9,82.925,85.5,83.325,87.275,83.375,86.325,80.2
sleeper,0.5,24.525000000000002,29.849999999999998,45.95,33.25,47.7,74.55,48.275,69.375,47.8,75.9,35.025,68.85,80.025
sleeper,0.7,28.41666666666666,3.5000000000000004,45.0,0.0,46.25,71.83333333333333,0.0,64.83333333333333,41.833333333333336,72.04166666666667,0.0,65.0,79.16666666666667
stationary_coherent,0.3,88.075,88.175,88.225,79.625,88.175,88.55,87.95,88.575,88.725,89.225,88.4,89.375,80.2
stationary_coherent,0.5,62.775000000000006,62.975,62.8,33.25,87.625,87.825,86.775,87.95,88.55,88.875,88.05,88.95,80.025
stationary_coherent,0.7,60.66666666666667,60.62499999999999,59.12500000000001,0.0,82.95833333333333,84.16666666666667,82.375,84.625,83.83333333333333,85.125,83.5,85.625,79.16666666666667
toggle40,0.3,87.3,87.075,85.1,82.125,87.4,87.625,87.45,86.925,88.4,88.25,87.975,87.55,80.2
toggle40,0.5,81.6,68.825,75.925,54.0,86.85,87.1,85.9,86.725,88.0,88.325,87.05,87.725,80.025
toggle40,0.7,60.5,60.66666666666667,37.0,28.125,83.04166666666667,83.58333333333333,81.70833333333333,82.91666666666667,84.20833333333333,84.5,82.54166666666667,84.58333333333333,79.16666666666667
