benchmark,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict,study,attack,param
arc,0.0,self,race,0.975,0.9305,0.0445,0.013250000000000001,0.07775624999999999,0.0018778168977949714,80,0.2591387318957061,tie,main,,
arc,0.0,majority,race,0.975,0.9675,0.007499999999999998,-0.01,0.027499999999999997,0.32044692315627255,80,1.0,tie,main,,
arc,0.0,ds_onecoin,race,0.975,0.975,0.0,-0.015000000000000003,0.015000000000000003,1.0,80,1.0,tie,main,,
arc,0.0,aip_gated,race,0.975,0.9737500000000001,0.0012500000000000005,-0.013518750000000001,0.019,0.5736366280193503,80,1.0,tie,main,,
arc,0.0,aip_soft,race,0.975,0.97325,0.0017500000000000003,-0.014250000000000002,0.0195,0.9929035095959442,80,1.0,tie,main,,
arc,0.1,self,race,0.975,0.9294444444444446,0.04555555555555556,0.01832638888888889,0.07472916666666662,0.0017737073791418108,80,0.2500927404589953,tie,main,,
arc,0.1,majority,race,0.975,0.9625,0.012499999999999997,-1.3877787807814458e-18,0.027500000000000004,0.10589779475643982,80,1.0,tie,main,,
arc,0.1,ds_onecoin,race,0.975,0.97,0.004999999999999999,-0.005,0.015000000000000003,0.32044692315627255,80,1.0,tie,main,,
arc,0.1,aip_gated,race,0.975,0.9627777777777778,0.012222222222222221,-0.0008402777777777787,0.027499999999999997,0.10589779475643982,80,1.0,tie,main,,
arc,0.1,aip_soft,race,0.975,0.9636111111111111,0.01138888888888889,-0.001388888888888888,0.027229166666666627,0.10591231919266325,80,1.0,tie,main,,
arc,0.2,self,race,0.975,0.9296875,0.0453125,0.02,0.074375,0.0014749526818306031,80,0.21497631999724437,tie,main,,
arc,0.2,majority,race,0.975,0.9600000000000002,0.015,-0.005000000000000002,0.04,0.1816477648428111,80,1.0,tie,main,,
arc,0.2,ds_onecoin,race,0.975,0.9800000000000001,-0.005000000000000003,-0.020000000000000004,0.007499999999999998,0.630133144362957,80,1.0,tie,main,,
arc,0.2,aip_gated,race,0.975,0.9771875000000001,-0.0021875000000000006,-0.0165625,0.009999999999999998,0.6797911761275559,80,1.0,tie,main,,
arc,0.2,aip_soft,race,0.975,0.9771875000000001,-0.0021875000000000006,-0.016875,0.009999999999999998,0.6797911761275559,80,1.0,tie,main,,
arc,0.3,self,race,0.975,0.93,0.045000000000000005,0.019991071428571438,0.07392857142857144,0.0014724405479263313,80,0.21497631999724437,tie,main,,
arc,0.3,majority,race,0.975,0.945,0.03,0.01,0.05500000000000001,0.004695189951962086,80,0.6338506435148816,tie,main,,
arc,0.3,ds_onecoin,race,0.975,0.9800000000000001,-0.005,-0.017500000000000005,0.004999999999999999,0.5587931134723696,80,1.0,tie,main,,
arc,0.3,aip_gated,race,0.975,0.9757142857142856,-0.0007142857142857145,-0.008214285714285714,0.006785714285714284,0.5637236869215428,80,1.0,tie,main,,
arc,0.3,aip_soft,race,0.975,0.9757142857142856,-0.0007142857142857145,-0.008214285714285714,0.006785714285714284,0.5637236869215428,80,1.0,tie,main,,
arc,0.4,self,race,0.9725000000000001,0.9220833333333335,0.050416666666666665,0.02583333333333333,0.07876041666666661,0.0002979598919713208,80,0.04528990357964076,win,main,,
arc,0.4,majority,race,0.9725000000000001,0.875,0.0975,0.052500000000000005,0.15006249999999965,6.542101333292238e-05,80,0.010921495729249399,win,main,,
arc,0.4,ds_onecoin,race,0.9725000000000001,0.9724999999999999,-6.938893903907229e-19,-0.0075000000000000015,0.007499999999999998,0.9929035095959442,80,1.0,tie,main,,
arc,0.4,aip_gated,race,0.9725000000000001,0.9704166666666666,0.002083333333333332,-0.005416666666666668,0.00958333333333333,0.32669520136447316,80,1.0,tie,main,,
arc,0.4,aip_soft,race,0.9725000000000001,0.9704166666666666,0.002083333333333332,-0.005000000000000001,0.00958333333333333,0.32669520136447316,80,1.0,tie,main,,
arc,0.5,self,race,0.9650000000000001,0.9190000000000002,0.046,0.0239875,0.06951249999999994,0.0002298111634131391,80,0.03581386353506753,win,main,,
arc,0.5,majority,race,0.9650000000000001,0.41,0.555,0.47000000000000003,0.635,1.0552672617110305e-13,80,2.289929957912936e-11,win,main,,
arc,0.5,ds_onecoin,race,0.9650000000000001,0.0,0.9650000000000001,0.9349999999999999,0.9875,7.031719581233653e-18,80,1.961849763164189e-15,win,main,,
arc,0.5,aip_gated,race,0.9650000000000001,0.9605,0.0045,-0.0010000000000000009,0.012499999999999999,0.5538940370211425,80,1.0,tie,main,,
arc,0.5,aip_soft,race,0.9650000000000001,0.959,0.006000000000000001,0.0,0.013512499999999934,0.08328098628159922,80,1.0,tie,main,,
arc,0.6,self,race,0.9675,0.923125,0.044375000000000005,0.024375,0.06625,6.539817801945748e-05,80,0.010921495729249399,win,main,,
arc,0.6,majority,race,0.9675,0.0,0.9675,0.9399999999999998,0.99,4.898529246943391e-18,80,1.3862837768849796e-15,win,main,,
arc,0.6,ds_onecoin,race,0.9675,0.0,0.9675,0.9375,0.99,4.898529246943391e-18,80,1.3862837768849796e-15,win,main,,
arc,0.6,aip_gated,race,0.9675,0.965625,0.001875000000000001,-0.0037500000000000007,0.0075000000000000015,0.18732515509965508,80,1.0,tie,main,,
arc,0.6,aip_soft,race,0.9675,0.96875,-0.0012499999999999998,-0.007499999999999998,0.003749999999999999,0.9929035095959442,80,1.0,tie,main,,
arc,0.7,self,race,0.9508333333333333,0.9091666666666665,0.04166666666666667,0.021666666666666667,0.06416666666666668,6.54667023374355e-05,80,0.010921495729249399,win,main,,
arc,0.7,majority,race,0.9508333333333333,0.0,0.9508333333333333,0.9116458333333332,0.9824999999999999,9.946225717706496e-18,80,2.705373395216167e-15,win,main,,
arc,0.7,ds_onecoin,race,0.9508333333333333,0.0,0.9508333333333333,0.9158333333333333,0.9808333333333333,9.946225717706496e-18,80,2.705373395216167e-15,win,main,,
arc,0.7,aip_gated,race,0.9508333333333333,0.9491666666666667,0.0016666666666666676,-0.0033333333333333327,0.008333333333333335,0.5637236869215428,80,1.0,tie,main,,
arc,0.7,aip_soft,race,0.9508333333333333,0.9483333333333335,0.0025,0.0,0.0075000000000000015,0.31731050786291415,80,1.0,tie,main,,
arc,0.8,self,race,0.9600000000000002,0.9237500000000001,0.03625,0.02,0.05375,0.00018639984719803554,80,0.02926477601009158,win,main,,
arc,0.8,majority,race,0.9600000000000002,0.0,0.9600000000000002,0.9324999999999999,0.98375,1.8942347570585763e-17,80,5.114433844058156e-15,win,main,,
arc,0.8,ds_onecoin,race,0.9600000000000002,0.0,0.9600000000000002,0.93125,0.9825000000000002,1.8942347570585763e-17,80,5.114433844058156e-15,win,main,,
arc,0.8,aip_gated,race,0.9600000000000002,0.9425000000000001,0.017499999999999998,0.006249999999999999,0.029999999999999992,0.010900568488105488,80,1.0,tie,main,,
arc,0.8,aip_soft,race,0.9600000000000002,0.9550000000000001,0.005000000000000002,-0.0037499999999999977,0.012500000000000006,0.10016116163442094,80,1.0,tie,main,,
arc,0.9,self,race,0.905,0.9025000000000001,0.0024999999999999996,0.0,0.007499999999999998,0.31731050786291415,80,1.0,tie,main,,
arc,0.9,majority,race,0.905,0.0,0.905,0.8574999999999999,0.9475000000000001,9.575642060863685e-17,80,2.4705156517028308e-14,win,main,,
arc,0.9,ds_onecoin,race,0.905,0.0,0.905,0.8550000000000001,0.9475,9.575642060863685e-17,80,2.4705156517028308e-14,win,main,,
arc,0.9,aip_gated,race,0.905,0.0,0.905,0.8574999999999999,0.95,9.575642060863685e-17,80,2.4705156517028308e-14,win,main,,
arc,0.9,aip_soft,race,0.905,0.0,0.905,0.8574999999999999,0.9475,9.575642060863685e-17,80,2.4705156517028308e-14,win,main,,
boolq,0.0,self,race,0.925,0.89625,0.02874999999999999,-0.0012562500000000115,0.059999999999999984,0.010732938597962259,80,1.0,tie,main,,
boolq,0.0,majority,race,0.925,0.9225000000000001,0.002499999999999998,-0.015000000000000003,0.0225,1.0,80,1.0,tie,main,,
boolq,0.0,ds_onecoin,race,0.925,0.9275,-0.0025000000000000022,-0.017499999999999998,0.009999999999999998,0.9796757846874236,80,1.0,tie,main,,
boolq,0.0,aip_gated,race,0.925,0.9275,-0.0025000000000000022,-0.016275,0.010256249999999965,0.9796759907383891,80,1.0,tie,main,,
boolq,0.0,aip_soft,race,0.925,0.9275,-0.0025000000000000022,-0.015500000000000003,0.010249999999999999,0.9796759907383891,80,1.0,tie,main,,
boolq,0.1,self,race,0.9375,0.8980555555555554,0.039444444444444456,0.01027083333333334,0.07083333333333335,0.0023503795783910105,80,0.32200200223956843,tie,main,,
boolq,0.1,majority,race,0.9375,0.9125,0.025,0.0024999999999999996,0.05500000000000001,0.04552216892442034,80,1.0,tie,main,,
boolq,0.1,ds_onecoin,race,0.9375,0.9324999999999999,0.004999999999999998,-0.005,0.014999999999999996,0.3266755785132346,80,1.0,tie,main,,
boolq,0.1,aip_gated,race,0.9375,0.9225,0.015,0.0013888888888888883,0.033611111111111105,0.17245372678263393,80,1.0,tie,main,,
boolq,0.1,aip_soft,race,0.9375,0.9275,0.009999999999999998,-0.0025000000000000014,0.027499999999999997,0.32044692315627255,80,1.0,tie,main,,
boolq,0.2,self,race,0.9349999999999999,0.8934375000000001,0.0415625,0.014367187500000003,0.0703125,0.0016711505106125706,80,0.23730337250698502,tie,main,,
boolq,0.2,majority,race,0.9349999999999999,0.8925000000000001,0.0425,0.01,0.08,0.014328837283834503,80,1.0,tie,main,,
boolq,0.2,ds_onecoin,race,0.9349999999999999,0.9425000000000001,-0.0075000000000000015,-0.022500000000000003,0.004999999999999999,0.5538940370211425,80,1.0,tie,main,,
boolq,0.2,aip_gated,race,0.9349999999999999,0.9003125000000001,0.034687499999999996,0.010624999999999999,0.064375,0.0046958535237473014,80,0.6338506435148816,tie,main,,
boolq,0.2,aip_soft,race,0.9349999999999999,0.9246875000000001,0.010312499999999999,-0.0009375000000000002,0.02375,0.10145022317651736,80,1.0,tie,main,,
boolq,0.3,self,race,0.9349999999999999,0.895357142857143,0.03964285714285715,0.01500000000000001,0.06643749999999995,0.00518437740925537,80,0.6843378180217088,tie,main,,
boolq,0.3,majority,race,0.9349999999999999,0.8699999999999999,0.065,0.025,0.11499999999999999,0.0015767620388987282,80,0.22705373360141687,tie,main,,
boolq,0.3,ds_onecoin,race,0.9349999999999999,0.9574999999999999,-0.0225,-0.0475,-0.0025,0.04551997832170068,80,1.0,tie,main,,
boolq,0.3,aip_gated,race,0.9349999999999999,0.8685714285714287,0.06642857142857143,0.031062500000000003,0.10714285714285714,0.00031687064448549185,80,0.04784746731730927,win,main,,
boolq,0.3,aip_soft,race,0.9349999999999999,0.9225000000000001,0.0125,0.0024999999999999996,0.027499999999999997,0.04551997832170068,80,1.0,tie,main,,
boolq,0.4,self,race,0.9349999999999999,0.8887499999999999,0.04625,0.01998958333333333,0.07501041666666661,0.0013293487720466627,80,0.1954142694908594,tie,main,,
boolq,0.4,majority,race,0.9349999999999999,0.7675,0.16750000000000004,0.0925,0.24256249999999968,2.3060314817662312e-05,80,0.003943313833820255,win,main,,
