family,model,Alone,Majority vote,AIP,RACE,RACE gain
all seven attacks,gemma4_31b,93.2,46.1,68.5,91.7,-1.6
all seven attacks,granite42_30b,80.0,39.4,63.4,87.8,7.8
all seven attacks,llama32_3b,73.5,45.0,57.7,89.5,16.1
all seven attacks,ministral3_14b,85.9,46.0,64.1,91.1,5.2
all seven attacks,olmo3_32b_think,85.3,48.8,64.4,90.7,5.4
all seven attacks,phi4_mini_reasoning,79.2,47.6,68.3,91.8,12.7
all seven attacks,qwen38_27b,94.0,49.2,79.8,93.6,-0.3
LLM deceivers,gemma4_31b,93.2,57.8,75.1,90.7,-2.6
LLM deceivers,granite42_30b,80.0,51.9,70.4,87.0,7.0
LLM deceivers,llama32_3b,73.5,58.5,73.0,90.2,16.7
LLM deceivers,ministral3_14b,85.9,58.7,73.0,90.1,4.2
LLM deceivers,olmo3_32b_think,85.3,62.3,73.6,89.8,4.4
LLM deceivers,phi4_mini_reasoning,79.2,56.6,77.7,91.1,12.0
LLM deceivers,qwen38_27b,94.0,54.0,82.2,92.7,-1.3
camouflage,gemma4_31b,93.2,67.4,67.7,83.8,-9.4
camouflage,granite42_30b,80.0,63.0,61.9,77.2,-2.8
camouflage,llama32_3b,73.5,66.3,66.8,81.5,8.0
camouflage,ministral3_14b,85.9,68.3,65.7,85.0,-0.9
camouflage,olmo3_32b_think,85.3,66.4,70.5,83.1,-2.2
camouflage,phi4_mini_reasoning,79.2,70.9,67.3,84.2,5.1
camouflage,qwen38_27b,94.0,74.3,67.8,87.5,-6.4
