benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,0.3,attractor,1.0,race,race_d,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,camouflage,0.7,race,race_d,0.7761904761904761,0.9541666666666666,-0.1779761904761906,-0.18869047619047633,-0.1630952380952382,1.3783521245322076e-16,80,4.424510319748386e-14,loss
arc,0.3,camouflage,0.9,race,race_d,0.9529761904761903,0.9625,-0.009523809523809542,-0.033928571428571454,0.01904761904761903,0.037035353543439835,80,1.0,tie
arc,0.3,echo,1.0,race,race_d,0.974404761904762,0.9708333333333334,0.0035714285714285787,-0.00535714285714285,0.01607142857142858,0.15845160447722895,80,1.0,tie
arc,0.3,gate_aware,0.0,race,race_d,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.25,race,race_d,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.5,race,race_d,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.75,race,race_d,0.9833333333333332,0.9833333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,1.0,race,race_d,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,independent,1.0,race,race_d,0.9958333333333333,0.9958333333333333,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,llm:rushing,1.0,race,race_d,0.9738095238095237,0.9708333333333332,0.002976190476190477,-0.00357142857142857,0.0125,0.9929035095959442,80,1.0,tie
arc,0.3,llm:semantic_hallucination,1.0,race,race_d,0.9678571428571429,0.9678571428571429,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,llm:semantic_negation,1.0,race,race_d,0.9666666666666668,0.9666666666666668,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,partial,0.5,race,race_d,0.9833333333333332,0.9839285714285714,-0.0005952380952380959,-0.0017857142857142876,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,partial,0.8,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,sleeper,1.0,race,race_d,0.7892857142857143,0.961904761904762,-0.17261904761904773,-0.18928571428571442,-0.14998511904761921,4.3282446999560536e-15,80,1.367725325186113e-12,loss
