benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,0.3,attractor,1.0,oracle_channel_honest,race,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,camouflage,0.7,oracle_channel_honest,race,0.9541666666666666,0.9875,-0.03333333333333334,-0.07083333333333333,-0.008333333333333333,0.02537018998796114,80,1.0,tie
arc,0.3,camouflage,0.9,oracle_channel_honest,race,0.9625,0.9875,-0.025,-0.05,-0.008333333333333333,0.02536898605682532,80,1.0,tie
arc,0.3,echo,1.0,oracle_channel_honest,race,0.9708333333333334,0.9875,-0.01666666666666667,-0.037500000000000006,0.0,0.08327686887710241,80,1.0,tie
arc,0.3,gate_aware,0.0,oracle_channel_honest,race,0.9875,0.9875,6.938893903907229e-19,-0.0125,0.0125,0.9929035095959442,80,1.0,tie
arc,0.3,gate_aware,0.25,oracle_channel_honest,race,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.5,oracle_channel_honest,race,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.75,oracle_channel_honest,race,0.9833333333333332,0.9875,-0.0041666666666666675,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,gate_aware,1.0,oracle_channel_honest,race,0.9791666666666666,0.9875,-0.008333333333333335,-0.020833333333333336,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,independent,1.0,oracle_channel_honest,race,0.9958333333333333,0.9875,0.008333333333333335,0.0,0.020833333333333336,0.15730741684009697,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,oracle_channel_honest,race,0.975,0.9875,-0.0125,-0.029166666666666667,0.0,0.08327686887710241,80,1.0,tie
arc,0.3,llm:rushing,1.0,oracle_channel_honest,race,0.9708333333333332,0.9875,-0.01666666666666667,-0.0375,0.0,0.08328098628159922,80,1.0,tie
arc,0.3,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9678571428571429,0.9875,-0.019642857142857146,-0.03928571428571429,-0.0041666666666666675,0.02536898605682532,80,1.0,tie
arc,0.3,llm:semantic_negation,1.0,oracle_channel_honest,race,0.9666666666666668,0.9875,-0.020833333333333336,-0.04583333333333334,-0.004166666666666667,0.04551997832170068,80,1.0,tie
arc,0.3,partial,0.5,oracle_channel_honest,race,0.9839285714285714,0.9875,-0.0035714285714285713,-0.010714285714285714,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,partial,0.8,oracle_channel_honest,race,0.975,0.9875,-0.0125,-0.029166666666666664,0.0,0.08327686887710241,80,1.0,tie
arc,0.3,sleeper,1.0,oracle_channel_honest,race,0.961904761904762,0.9875,-0.025595238095238095,-0.050595238095238096,-0.0041666666666666675,0.02537018998796114,80,1.0,tie
arc,0.3,uninformative,1.0,oracle_channel_honest,race,0.975,0.9875,-0.0125,-0.029166666666666667,0.0,0.08327686887710241,80,1.0,tie
arc,0.5,attractor,1.0,oracle_channel_honest,race,0.9799999999999999,0.9666666666666666,0.013333333333333336,0.0008333333333333346,0.029166666666666667,0.045513406646735394,80,1.0,tie
arc,0.5,camouflage,0.7,oracle_channel_honest,race,0.9416666666666668,0.9666666666666666,-0.025,-0.05,-0.0041666666666666675,0.02536898605682532,80,1.0,tie
arc,0.5,camouflage,0.9,oracle_channel_honest,race,0.95,0.9666666666666666,-0.01666666666666667,-0.03333333333333334,-0.004166666666666667,0.02537018998796114,80,1.0,tie
arc,0.5,echo,1.0,oracle_channel_honest,race,0.95,0.9666666666666666,-0.016666666666666666,-0.04166666666666667,0.0041666666666666675,0.1816441765698149,80,1.0,tie
arc,0.5,gate_aware,0.0,oracle_channel_honest,race,0.9875,0.9666666666666666,0.020833333333333336,0.0041666666666666675,0.04166666666666667,0.02535935531944917,80,1.0,tie
arc,0.5,gate_aware,0.25,oracle_channel_honest,race,0.9833333333333332,0.9666666666666666,0.016666666666666666,0.004166666666666667,0.03333333333333334,0.045513406646735394,80,1.0,tie
arc,0.5,gate_aware,0.5,oracle_channel_honest,race,0.9791666666666666,0.9666666666666666,0.0125,0.0,0.025,0.08327686887710241,80,1.0,tie
arc,0.5,gate_aware,0.75,oracle_channel_honest,race,0.9791666666666666,0.9666666666666666,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
arc,0.5,gate_aware,1.0,oracle_channel_honest,race,0.9708333333333332,0.9666666666666666,0.004166666666666667,0.0,0.0125,0.31731050786291415,80,1.0,tie
arc,0.5,independent,1.0,oracle_channel_honest,race,0.9833333333333332,0.9666666666666666,0.01666666666666667,0.004166666666666667,0.03333333333333334,0.045513406646735394,80,1.0,tie
