composition,n_agents,attack,f,Receiver alone,Majority vote,AIP gated,RACE w/o clone tempering,RACE (ours),Known-channel oracle
frozen,5,coherent,0.3,77.63888888888889,63.645833333333336,56.70138888888888,90.48611111111111,87.08333333333333,90.41666666666666
frozen,5,coherent,0.5,77.63888888888889,63.645833333333336,56.70138888888888,90.48611111111111,87.08333333333333,90.41666666666666
frozen,5,coherent,0.7,76.5625,0.0,0.0,80.9375,79.58333333333333,80.9375
frozen,5,gate_aware,0.3,77.63888888888889,66.25,54.513888888888886,90.69444444444444,90.06944444444444,90.9375
frozen,5,gate_aware,0.5,77.63888888888889,66.25,54.513888888888886,90.69444444444444,90.06944444444444,90.9375
frozen,5,gate_aware,0.7,76.5625,0.0,37.604166666666664,84.79166666666667,84.79166666666667,86.45833333333334
frozen,10,coherent,0.3,80.61011904761905,79.16666666666667,88.52678571428572,90.07440476190476,89.47916666666667,92.5
frozen,10,coherent,0.5,79.64583333333334,32.1875,64.27083333333333,90.95833333333333,89.0,91.875
frozen,10,coherent,0.7,79.8611111111111,0.0,62.84722222222222,90.86805555555554,88.36805555555556,89.6875
frozen,20,coherent,0.3,80.76636904761905,81.14583333333334,89.4047619047619,90.72172619047618,90.66964285714286,93.4375
frozen,20,coherent,0.5,80.4375,27.708333333333336,76.63541666666667,92.67708333333333,90.96875000000001,93.75
frozen,20,coherent,0.7,80.38194444444444,0.0,62.41319444444444,91.35416666666666,86.85763888888889,91.45833333333334
frozen,20,gate_aware,0.3,80.76636904761905,84.0625,86.26488095238095,92.99107142857143,94.16666666666667,94.47916666666666
frozen,20,gate_aware,0.5,80.4375,54.58333333333333,67.75,95.20833333333334,95.3125,95.72916666666667
frozen,20,gate_aware,0.7,80.38194444444444,5.208333333333333,22.222222222222225,95.4861111111111,94.65277777777779,94.89583333333333
frozen,40,coherent,0.3,79.84002976190476,81.14583333333334,88.96205357142858,90.4203869047619,89.44940476190476,93.33333333333333
frozen,40,coherent,0.5,80.21354166666667,25.937500000000004,83.24999999999999,94.16666666666667,89.78125,93.02083333333334
frozen,40,coherent,0.7,80.40798611111111,0.0,63.96701388888888,94.0625,89.24479166666666,92.70833333333334
frozen,40,gate_aware,0.3,79.84002976190476,83.95833333333333,86.640625,92.79761904761905,95.83333333333334,96.25
frozen,40,gate_aware,0.5,80.21354166666667,56.25,76.65625,95.68229166666666,96.5625,96.875
frozen,40,gate_aware,0.7,80.40798611111111,4.6875,27.65625,97.39583333333334,96.77083333333334,96.875
frozen+weak,10,coherent,0.3,76.29464285714286,75.9375,86.60714285714286,89.55357142857142,89.49404761904762,92.70833333333334
frozen+weak,10,coherent,0.5,76.29166666666667,27.916666666666668,64.14583333333333,89.29166666666667,88.79166666666667,92.60416666666667
frozen+weak,10,coherent,0.7,76.90972222222221,0.0,64.54861111111111,92.11805555555556,89.34027777777779,91.97916666666666
hom_llama32_3b,10,coherent,0.3,61.875,61.875,61.875,61.875,65.9375,67.8125
hom_llama32_3b,10,coherent,0.5,61.875,34.479166666666664,34.479166666666664,61.875,65.9375,67.8125
hom_llama32_3b,10,coherent,0.7,61.875,0.0,0.0,65.9375,65.9375,67.8125
hom_qwen38_27b,10,coherent,0.3,90.9375,90.9375,90.9375,90.9375,93.125,93.33333333333333
hom_qwen38_27b,10,coherent,0.5,90.9375,55.20833333333333,55.20833333333333,90.9375,93.125,93.33333333333333
hom_qwen38_27b,10,coherent,0.7,90.9375,0.0,0.0,93.33333333333333,93.125,93.33333333333333
weak,10,coherent,0.3,62.63392857142856,54.37499999999999,65.92261904761905,66.96428571428571,66.17559523809524,77.39583333333333
weak,10,coherent,0.5,62.083333333333336,19.895833333333332,41.85416666666667,71.22916666666667,65.52083333333333,77.08333333333333
weak,10,coherent,0.7,62.67361111111111,0.0,42.08333333333333,70.4861111111111,66.63194444444444,77.60416666666667
