Study,Baseline,Wins,Ties,Losses,Cells
E3 LLM deceivers,AIP gated,37,59,0,96
E3 LLM deceivers,AIP soft gate (M1),28,68,0,96
E3 LLM deceivers,Dawid–Skene (label-free),35,61,0,96
E3 LLM deceivers,Majority vote,37,59,0,96
E3 LLM deceivers,Receiver alone,59,37,0,96
E1 coherent sweep,AIP gated,20,38,2,60
E1 coherent sweep,AIP soft gate (M1),14,44,2,60
E1 coherent sweep,Dawid–Skene (label-free),31,26,3,60
E1 coherent sweep,Majority vote,41,18,1,60
E1 coherent sweep,Receiver alone,38,22,0,60
E2 attack zoo,AIP gated,100,147,5,252
E2 attack zoo,AIP soft gate (M1),73,175,4,252
E2 attack zoo,Dawid–Skene (label-free),87,157,8,252
E2 attack zoo,Majority vote,122,127,3,252
E2 attack zoo,Receiver alone,136,96,20,252
